"Date","Geography","DGUID","Population"
"2023-01-01","Ontario","2021A000235","15407970"
"2023-01-01","Manitoba","2021A000246","1433655"
"2023-01-01","Saskatchewan","2021A000247","1195840"
"2023-01-01","Alberta","2021A000248","4596901"
"2023-01-01","British Columbia","2021A000259","5432939"
"2023-01-01","Yukon","2021A000260","44478"
"2023-01-01","Northwest Territories","2021A000261","44403"
"2023-01-01","Nunavut","2021A000262","40797"
"2023-04-01","Newfoundland and Labrador","2021A000210","536635"
"2023-04-01","Prince Edward Island","2021A000211","171736"
"2023-04-01","Nova Scotia","2021A000212","1043723"
"2023-04-01","New Brunswick","2021A000213","824150"
"2023-04-01","Quebec","2021A000224","8772140"
"2023-04-01","Ontario","2021A000235","15495050"
"2023-04-01","Manitoba","2021A000246","1444049"
"2023-04-01","Saskatchewan","2021A000247","1201624"
"2023-04-01","Alberta","2021A000248","4641615"
"2023-04-01","British Columbia","2021A000259","5466566"
"2023-04-01","Yukon","2021A000260","44823"
"2023-04-01","Northwest Territories","2021A000261","44402"
"2023-04-01","Nunavut","2021A000262","40784"
"2023-07-01","Newfoundland and Labrador","2021A000210","538789"
"2023-07-01","Prince Edward Island","2021A000211","173734"
"2023-07-01","Nova Scotia","2021A000212","1053005"
"2023-07-01","New Brunswick","2021A000213","831103"
"2023-07-01","Quebec","2021A000224","8821696"
"2023-07-01","Ontario","2021A000235","15632481"
"2023-07-01","Manitoba","2021A000246","1453202"
"2023-07-01","Saskatchewan","2021A000247","1210257"
"2023-07-01","Alberta","2021A000248","4688576"
"2023-07-01","British Columbia","2021A000259","5515296"
"2023-07-01","Yukon","2021A000260","45419"
"2023-07-01","Northwest Territories","2021A000261","44614"
"2023-07-01","Nunavut","2021A000262","40916"
"2023-10-01","Newfoundland and Labrador","2021A000210","541126"
"2023-10-01","Prince Edward Island","2021A000211","176173"
"2023-10-01","Nova Scotia","2021A000212","1062825"
"2023-10-01","New Brunswick","2021A000213","840130"
"2023-10-01","Quebec","2021A000224","8882501"
"2023-10-01","Ontario","2021A000235","15823956"
"2023-10-01","Manitoba","2021A000246","1462439"
"2023-10-01","Saskatchewan","2021A000247","1222152"
"2023-10-01","Alberta","2021A000248","4752173"
"2023-10-01","British Columbia","2021A000259","5572694"
"2023-10-01","Yukon","2021A000260","45898"
"2023-10-01","Northwest Territories","2021A000261","44566"
"2023-10-01","Nunavut","2021A000262","41089"
"2024-01-01","Newfoundland and Labrador","2021A000210","542449"
"2024-01-01","Prince Edward Island","2021A000211","176757"
"2024-01-01","Nova Scotia","2021A000212","1067878"
"2024-01-01","New Brunswick","2021A000213","844859"
"2024-01-01","Quebec","2021A000224","8909038"
"2024-01-01","Ontario","2021A000235","15946146"
"2024-01-01","Manitoba","2021A000246","1472261"
"2024-01-01","Saskatchewan","2021A000247","1230316"
"2024-01-01","Alberta","2021A000248","4801806"
"2024-01-01","British Columbia","2021A000259","5601024"
"2024-01-01","Yukon","2021A000260","46286"
"2024-01-01","Northwest Territories","2021A000261","44655"
"2024-01-01","Nunavut","2021A000262","41051"
"2024-04-01","Newfoundland and Labrador","2021A000210","544318"
"2024-04-01","Prince Edward Island","2021A000211","178022"
"2024-04-01","Nova Scotia","2021A000212","1074020"
"2024-04-01","New Brunswick","2021A000213","850930"
"2024-04-01","Quebec","2021A000224","8945468"
"2024-04-01","Ontario","2021A000235","16046534"
"2024-04-01","Manitoba","2021A000246","1483553"
"2024-04-01","Saskatchewan","2021A000247","1238591"
"2024-04-01","Alberta","2021A000248","4857695"
"2024-04-01","British Columbia","2021A000259","5638043"
"2024-04-01","Yukon","2021A000260","46965"
"2024-04-01","Northwest Territories","2021A000261","45021"
"2024-04-01","Nunavut","2021A000262","41137"
"2024-07-01","Newfoundland and Labrador","2021A000210","546869"
"2024-07-01","Prince Edward Island","2021A000211","179709"
"2024-07-01","Nova Scotia","2021A000212","1082769"
"2024-07-01","New Brunswick","2021A000213","858293"
"2024-07-01","Quebec","2021A000224","8995474"
"2024-07-01","Ontario","2021A000235","16144797"
"2024-07-01","Manitoba","2021A000246","1492144"
"2024-07-01","Saskatchewan","2021A000247","1247868"
"2024-07-01","Alberta","2021A000248","4909030"
"2024-07-01","British Columbia","2021A000259","5671114"
"2024-07-01","Yukon","2021A000260","47595"
"2024-07-01","Northwest Territories","2021A000261","45257"
"2024-07-01","Nunavut","2021A000262","41410"
"2024-10-01","Newfoundland and Labrador","2021A000210","548402"
"2024-10-01","Prince Edward Island","2021A000211","180877"
"2024-10-01","Nova Scotia","2021A000212","1088273"
"2024-10-01","New Brunswick","2021A000213","863841"
"2024-10-01","Quebec","2021A000224","9038268"
"2024-10-01","Ontario","2021A000235","16228152"
"2024-10-01","Manitoba","2021A000246","1500464"
"2024-10-01","Saskatchewan","2021A000247","1256983"
"2024-10-01","Alberta","2021A000248","4957075"
"2024-10-01","British Columbia","2021A000259","5696852"
"2024-10-01","Yukon","2021A000260","47939"
"2024-10-01","Northwest Territories","2021A000261","45520"
"2024-10-01","Nunavut","2021A000262","41486"
"2025-01-01","Newfoundland and Labrador","2021A000210","548842"
"2025-01-01","Prince Edward Island","2021A000211","180686"
"2025-01-01","Nova Scotia","2021A000212","1089187"
"2025-01-01","New Brunswick","2021A000213","865945"
"2025-01-01","Quebec","2021A000224","9043463"
"2025-01-01","Ontario","2021A000235","16255550"
"2025-01-01","Manitoba","2021A000246","1505644"
"2025-01-01","Saskatchewan","2021A000247","1261524"
"2025-01-01","Alberta","2021A000248","4988181"
"2025-01-01","British Columbia","2021A000259","5699989"
"2025-01-01","Yukon","2021A000260","48176"
"2025-01-01","Northwest Territories","2021A000261","45679"
"2025-01-01","Nunavut","2021A000262","41651"
"2025-04-01","Newfoundland and Labrador","2021A000210","549456"
"2025-04-01","Prince Edward Island","2021A000211","181289"
"2025-04-01","Nova Scotia","2021A000212","1091037"
"2025-04-01","New Brunswick","2021A000213","867014"
"2025-04-01","Quebec","2021A000224","9041123"
"2025-04-01","Ontario","2021A000235","16256538"
"2025-04-01","Manitoba","2021A000246","1508031"
"2025-04-01","Saskatchewan","2021A000247","1264537"
"2025-04-01","Alberta","2021A000248","5010078"
"2025-04-01","British Columbia","2021A000259","5699690"
"2025-04-01","Yukon","2021A000260","48089"
"2025-04-01","Northwest Territories","2021A000261","45875"
"2025-04-01","Nunavut","2021A000262","41798"
"2025-07-01","Newfoundland and Labrador","2021A000210","549911"
"2025-07-01","Prince Edward Island","2021A000211","182657"
"2025-07-01","Nova Scotia","2021A000212","1093245"
"2025-07-01","New Brunswick","2021A000213","869682"
"2025-07-01","Quebec","2021A000224","9058297"
"2025-07-01","Ontario","2021A000235","16258260"
"2025-07-01","Manitoba","2021A000246","1509702"
"2025-07-01","Saskatchewan","2021A000247","1266959"
"2025-07-01","Alberta","2021A000248","5029346"
"2025-07-01","British Columbia","2021A000259","5697536"
"2025-07-01","Yukon","2021A000260","48278"
"2025-07-01","Northwest Territories","2021A000261","45950"
"2025-07-01","Nunavut","2021A000262","41830"
"2025-10-01","Newfoundland and Labrador","2021A000210","549738"
"2025-10-01","Prince Edward Island","2021A000211","182508"
"2025-10-01","Nova Scotia","2021A000212","1091857"
"2025-10-01","New Brunswick","2021A000213","868630"
"2025-10-01","Quebec","2021A000224","9058089"
"2025-10-01","Ontario","2021A000235","16191372"
"2025-10-01","Manitoba","2021A000246","1507057"
"2025-10-01","Saskatchewan","2021A000247","1266234"
"2025-10-01","Alberta","2021A000248","5040871"
"2025-10-01","British Columbia","2021A000259","5683201"
"2025-10-01","Yukon","2021A000260","48261"
"2025-10-01","Northwest Territories","2021A000261","45848"
"2025-10-01","Nunavut","2021A000262","41919"
"2026-01-01","Newfoundland and Labrador","2021A000210","548557"
"2026-01-01","Prince Edward Island","2021A000211","182001"
"2026-01-01","Nova Scotia","2021A000212","1090074"
"2026-01-01","New Brunswick","2021A000213","867383"
"2026-01-01","Quebec","2021A000224","9033887"
"2026-01-01","Ontario","2021A000235","16136480"
"2026-01-01","Manitoba","2021A000246","1505117"
"2026-01-01","Saskatchewan","2021A000247","1265936"
"2026-01-01","Alberta","2021A000248","5048151"
"2026-01-01","British Columbia","2021A000259","5658528"
"2026-01-01","Yukon","2021A000260","48218"
"2026-01-01","Northwest Territories","2021A000261","45803"
"2026-01-01","Nunavut","2021A000262","41946"
"2026-04-01","Newfoundland and Labrador","2021A000210","547910"
"2026-04-01","Prince Edward Island","2021A000211","181715"
"2026-04-01","Nova Scotia","2021A000212","1090852"
"2026-04-01","New Brunswick","2021A000213","866497"
"2026-04-01","Quebec","2021A000224","9016222"
"2026-04-01","Ontario","2021A000235","16103890"
"2026-04-01","Manitoba","2021A000246","1503865"
"2026-04-01","Saskatchewan","2021A000247","1266092"
"2026-04-01","Alberta","2021A000248","5057077"
"2026-04-01","British Columbia","2021A000259","5646420"
"2026-04-01","Yukon","2021A000260","48493"
"2026-04-01","Northwest Territories","2021A000261","45808"
"2026-04-01","Nunavut","2021A000262","42215"
