"Year","Geography","DGUID","MedianAfterTaxIncome"
"2023","Manitoba","2021A000246","38600"
"2023","Saskatchewan","2021A000247","41300"
"2023","Alberta","2021A000248","42800"
"2023","British Columbia","2021A000259","41800"
"2023","Yukon","2021A000260","54400"
"2023","Northwest Territories","2021A000261","56600"
"2023","Nunavut","2021A000262","35200"
"2024","Newfoundland and Labrador","2021A000210","37500"
"2024","Prince Edward Island","2021A000211","37500"
"2024","Nova Scotia","2021A000212","38400"
"2024","New Brunswick","2021A000213","38300"
"2024","Quebec","2021A000224","41300"
"2024","Ontario","2021A000235","39900"
"2024","Manitoba","2021A000246","37900"
"2024","Saskatchewan","2021A000247","41700"
"2024","Alberta","2021A000248","42000"
"2024","British Columbia","2021A000259","41200"
"2024","Yukon","2021A000260","55900"
"2024","Northwest Territories","2021A000261","61400"
"2024","Nunavut","2021A000262","38200"
